ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
8019898,HT250809,04/14/2011 09:00:00 PM,028XX E 94TH ST,0890,THEFT,FROM BUILDING,RESIDENTIAL YARD (FRONT/BACK),false,false,0423,004,10,48,06,1196765,1843184,2011,02/04/2016 06:33:39 AM,41.724565701,-87.554840848,"(41.724565701, -87.554840848)"
8019901,HT227731,03/31/2011 12:55:00 PM,131XX S INGLESIDE AVE,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET,false,false,0533,005,9,54,04A,1184822,1818461,2011,02/04/2016 06:33:39 AM,41.657010614,-87.599358934,"(41.657010614, -87.599358934)"
8019903,HT250872,04/15/2011 10:30:00 AM,044XX W LAWRENCE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,OTHER,false,true,1722,017,45,16,08B,1145450,1931525,2011,02/04/2016 06:33:39 AM,41.968105076,-87.740575045,"(41.968105076, -87.740575045)"
8019904,HT250820,04/15/2011 09:25:00 AM,014XX W 72ND ST,1330,CRIMINAL TRESPASS,TO LAND,VACANT LOT/LAND,true,false,0734,007,17,67,26,1167654,1856992,2011,02/04/2016 06:33:39 AM,41.763129769,-87.661078532,"(41.763129769, -87.661078532)"
8019909,HT250766,04/15/2011 08:57:00 AM,057XX S MICHIGAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0233,002,20,40,08B,1178139,1866901,2011,02/04/2016 06:33:39 AM,41.790089808,-87.622348992,"(41.790089808, -87.622348992)"
8019911,HT250789,04/15/2011 09:30:00 AM,075XX S HONORE ST,1195,DECEPTIVE PRACTICE,FINAN EXPLOIT-ELDERLY/DISABLED,RESIDENCE,false,true,0611,006,18,71,11,1165326,1854721,2011,02/04/2016 06:33:39 AM,41.756947439,-87.669675317,"(41.756947439, -87.669675317)"
8019912,HT250854,04/15/2011 01:00:00 AM,090XX S OGLESBY AVE,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,0413,004,7,48,06,1193409,1845568,2011,02/04/2016 06:33:39 AM,41.731190244,-87.567055861,"(41.731190244, -87.567055861)"
8019913,HT244779,04/11/2011 12:50:00 PM,077XX S ESSEX AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0421,004,7,43,14,1194205,1854061,2011,02/04/2016 06:33:39 AM,41.754476264,-87.563861673,"(41.754476264, -87.563861673)"
8019914,HT250646,04/15/2011 07:10:00 AM,012XX W 73RD PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,true,0734,007,17,67,14,1169112,1856038,2011,02/04/2016 06:33:39 AM,41.760480477,-87.655762234,"(41.760480477, -87.655762234)"
8019915,HT249502,04/14/2011 12:15:00 PM,090XX S BRANDON AVE,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,false,false,0424,004,10,46,04B,1198897,1845526,2011,02/04/2016 06:33:39 AM,41.730939162,-87.546953164,"(41.730939162, -87.546953164)"
8019917,HT250823,04/15/2011 10:00:00 AM,075XX S CONSTANCE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, BUILDING",true,false,0414,004,8,43,18,1189845,1855357,2011,02/04/2016 06:33:39 AM,41.758138498,-87.579797849,"(41.758138498, -87.579797849)"
8019920,HT250887,04/15/2011 10:25:00 AM,042XX S LAKE PARK AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,2123,002,4,36,18,1184374,1876879,2011,02/04/2016 06:33:39 AM,41.81732644,-87.599174734,"(41.81732644, -87.599174734)"
8019921,HT250627,04/14/2011 09:00:00 PM,064XX S GREEN ST,0810,THEFT,OVER $500,STREET,false,false,0723,007,16,68,06,1171746,1862071,2011,02/04/2016 06:33:39 AM,41.776978423,-87.645931834,"(41.776978423, -87.645931834)"
8019924,HT250833,04/15/2011 10:20:00 AM,081XX S VINCENNES AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0622,006,21,44,08B,1174721,1850953,2011,02/04/2016 06:33:39 AM,41.74640354,-87.635356317,"(41.74640354, -87.635356317)"
8019925,HT250814,04/13/2011 12:01:00 AM,008XX W 68TH ST,0610,BURGLARY,FORCIBLE ENTRY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,0723,007,17,68,05,1171722,1859757,2011,02/04/2016 06:33:39 AM,41.770629058,-87.646087606,"(41.770629058, -87.646087606)"
8019929,HT250829,04/08/2011 09:00:00 AM,070XX S SANGAMON ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0733,007,17,68,05,1171191,1858124,2011,02/04/2016 06:33:39 AM,41.766159533,-87.648081733,"(41.766159533, -87.648081733)"
8019930,HT250891,04/15/2011 11:00:00 AM,015XX W GARFIELD BLVD,2820,OTHER OFFENSE,TELEPHONE THREAT,GAS STATION,false,false,0713,007,16,67,26,1166837,1868115,2011,02/04/2016 06:33:39 AM,41.793670175,-87.663755557,"(41.793670175, -87.663755557)"
8019932,HT250847,04/12/2011 08:00:00 PM,016XX S HARDING AVE,0810,THEFT,OVER $500,RESIDENCE,false,false,1014,010,24,29,06,1150325,1891548,2011,02/04/2016 06:33:39 AM,41.858310477,-87.723694681,"(41.858310477, -87.723694681)"
8019935,HT250942,04/15/2011 10:30:00 AM,003XX N JEFFERSON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1212,012,42,28,14,1172268,1902412,2011,02/04/2016 06:33:39 AM,41.887666267,-87.64282944,"(41.887666267, -87.64282944)"
